                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.271,                 1.2683,                 1.3332,                 1.3284,                 2.3153,                 1.3071,                0.69325,                0.69375,                0.73542,                0.40842,                 1.4353,                 1.6854,                 1.4804,                 1.5249,                 1.7467,                 1.4874,             0.00055446,             0.00055446,             0.00055446
                      2,                 1.2508,                  1.053,                 1.3028,                 1.3524,                 1.2069,                 1.3063,                0.77044,                0.69679,                0.78704,                0.48331,                 1.2803,                 1.0973,                 1.3308,                  1.336,                 1.2958,                  1.321,             0.00089032,             0.00089032,             0.00089032
                      3,                 1.1849,                0.96123,                 1.2568,                 1.2906,                 1.0982,                 1.2688,                0.81421,                0.74179,                0.83557,                0.55871,                 1.1235,                0.91231,                 1.2175,                 1.1957,                0.98808,                 1.2403,              0.0010061,              0.0010061,              0.0010061
                      4,                 1.0915,                0.83455,                 1.2028,                 1.1882,                0.92884,                 1.2135,                0.85063,                 0.8313,                0.90151,                0.63853,                  1.001,                0.67928,                  1.135,                 1.0617,                0.69489,                 1.1475,              0.0006768,              0.0006768,              0.0006768
                      5,                 1.0661,                0.79735,                 1.1843,                 1.1656,                0.89402,                 1.1987,                0.85745,                0.83484,                0.90729,                0.63987,                 1.0254,                0.67602,                 1.1458,                 1.0938,                0.67747,                  1.169,              0.0006768,              0.0006768,              0.0006768
